artist_id,artist_name,month,royalties_usd,spotify_streams,instagram_followers,twitter_followers,track_release_date
A00065,Melissa Smith,2025-08,8461.54,602249,439473,1273,2023-08-28
A00323,Becky Davis,2025-08,1872.11,678670,362883,169542,2023-09-02
A00134,Shelly Logan,2025-08,14924.28,469202,5116,13702,2025-01-20
A00036,David Peterson,2025-08,13390.96,181349,113048,54933,2024-07-21
A00204,Kenneth Guzman,2025-08,9088.25,424765,395289,109815,2024-10-08
A00167,Phyllis Guerra,2025-08,17640.3,631962,217271,112539,2025-03-19
A00256,Bryan Rogers,2025-08,14415.2,37725,336773,12975,2023-08-31
A00084,Michael Thompson,2025-08,390.47,300024,69195,187813,2023-04-24
A00157,Francisco Davis,2025-08,1273.3,665569,195696,28756,2025-01-04
A00155,Taylor Huang,2025-08,1923.1,288384,48045,85569,2023-01-17
A00283,Sara Vazquez,2025-08,406.36,177639,76215,146085,2023-05-08
A00087,Marissa Fox,2025-08,18440.57,726430,233267,86513,2022-09-06
A00020,Jeanette Guzman,2025-08,8445.04,785663,260603,179692,2022-08-20
A00176,Justin Pena,2025-08,17802.38,239709,304293,106922,2025-06-17
A00406,Mckenzie Davis,2025-08,9777.4,147291,143304,96287,2025-01-30
A00077,Tracy Rivera,2025-08,14929.72,656329,498297,29951,2024-09-03
A00068,Kristen Reyes,2025-08,16245.19,758439,393913,48822,2024-12-11
A00306,Jacob Kelly,2025-08,1532.63,27163,4315,107557,2024-07-21
A00140,Antonio Meadows,2025-08,19691.05,43134,87873,38669,2023-02-20
A00045,Elizabeth Roth,2025-08,10229.2,275549,352156,107829,2022-12-11
A00192,Amanda Arnold,2025-08,16207.62,131501,152800,66415,2023-05-05
A00115,Sylvia Woods,2025-08,17415.88,288203,271113,110436,2022-08-26
A00494,Paul Hughes,2025-08,8514.98,68599,83571,186737,2022-09-27
A00040,Sharon Diaz,2025-08,13333.24,319063,215199,136283,2024-02-22
A00429,Jenna Smith,2025-08,2717.73,941788,10973,123606,2022-09-21
A00295,Sydney Keller,2025-08,19048.09,781359,94327,54732,2023-11-28
A00437,David Sosa,2025-08,7632.12,313738,148899,121122,2023-09-14
A00117,Charles Daniels,2025-08,15671.03,852893,386320,84085,2024-07-02
A00483,Chad Walker,2025-08,9793.53,579652,357083,130035,2023-06-22
A00336,Amber Fox,2025-08,10105.37,900820,89231,118445,2023-01-03
A00075,Monica Beck,2025-08,2619.75,58108,72335,70321,2024-09-27
A00386,Luis Tyler,2025-08,16547.47,402793,129840,158910,2023-12-17
A00051,Jason Andrade,2025-08,8955.8,722100,344393,179438,2023-11-12
A00323,Emily Murray,2025-08,13778.31,412855,455909,28503,2024-06-20
A00257,Tara Foster,2025-08,19209.64,308871,238440,86574,2024-04-03
A00293,Toni Hess,2025-08,1416.58,853394,466256,192334,2023-01-04
A00485,Dr. Alexandra Chapman,2025-08,14822.4,768875,210884,17843,2023-03-14
A00400,Savannah Ramos,2025-08,3683.79,983491,418047,72565,2025-01-08
A00356,Kathleen Duncan,2025-08,3430.33,425687,447390,118714,2025-01-10
A00477,Veronica Carney,2025-08,544.25,244274,149178,33808,2023-01-25
A00491,Christopher Lloyd,2025-08,4447.85,608831,77933,187427,2023-09-25
A00394,Paul Martin,2025-08,5874.7,521778,448520,85336,2023-04-18
A00115,Damon Flores,2025-08,7658.14,293655,86912,163383,2024-09-22
A00446,Christopher Keith,2025-08,19075.8,907398,97592,66914,2024-02-26
A00043,Andrew Montes,2025-08,15010.26,397112,331006,157583,2024-02-22
A00059,Mary Spencer,2025-08,7555.02,59795,126732,142391,2025-02-25
A00053,Susan Clark,2025-08,14772.27,991022,58489,169164,2023-02-25
A00477,Travis Cochran,2025-08,11106.15,237831,348590,95737,2023-02-03
A00499,Tracy Baker,2025-08,9991.07,618501,182277,38813,2023-10-26
A00266,Suzanne Gonzalez,2025-08,9723.52,962451,421244,41021,2024-10-14
A00421,Nathan Osborne,2025-08,17161.17,88680,453421,49978,2025-02-10
A00329,Nicole Schneider MD,2025-08,15015.03,307831,446587,48757,2024-10-01
A00395,Patricia Smith,2025-08,17621.41,960990,14344,188496,2023-07-19
A00465,Maria Simon,2025-08,17399.41,953158,327319,145608,2024-01-09
A00035,Jeffrey Smith,2025-08,12332.81,419371,237252,17806,2023-05-26
A00099,Jack Thomas,2025-08,13552.0,589326,257111,152360,2024-11-28
A00140,Jennifer Banks,2025-08,17587.12,596930,447640,25890,2023-02-22
A00466,Ryan Ray,2025-08,14212.41,341442,494029,18750,2024-01-09
A00063,John Jensen,2025-08,4261.34,743835,460285,198009,2025-02-19
A00276,Andrew Morris,2025-08,6080.02,662910,71613,40279,2025-02-28
A00493,Tristan Stewart Jr.,2025-08,5143.39,679580,337816,158287,2025-01-27
A00497,Danny Boyle,2025-08,4452.35,146833,462942,131417,2023-07-31
A00120,Melanie Leblanc,2025-08,16114.25,141086,187129,35157,2022-09-05
A00126,Michelle Murphy,2025-08,11346.82,3823,95987,8320,2023-02-01
A00356,Robin Richardson,2025-08,18558.34,977725,445113,192858,2023-05-19
A00027,April Carpenter,2025-08,1622.98,550228,77793,112223,2024-02-09
A00283,Harry Miller,2025-08,14296.82,278404,498516,126417,2024-01-14
A00365,Jeffrey Green,2025-08,130.36,281081,303568,108475,2023-11-21
A00054,Antonio Adams,2025-08,11717.12,61999,166990,39484,2023-11-01
A00200,Sean Mckee,2025-08,12087.07,469491,106540,114813,2023-01-13
A00081,Mrs. Elizabeth Nelson MD,2025-08,11438.12,850004,69506,36571,2024-02-02
A00220,Nichole Atkinson,2025-08,6155.18,214920,81334,180896,2024-03-30
A00288,Michael Pena,2025-08,18893.64,714496,368703,194388,2022-10-26
A00164,Alice Smith,2025-08,6697.65,848982,452238,127434,2023-03-17
A00351,Kenneth Richardson,2025-08,17048.15,68700,431979,4032,2023-01-03
A00266,Maria Watson,2025-08,17646.14,146274,177340,171300,2023-09-16
A00169,Susan Roy,2025-08,10943.85,816221,109046,198138,2024-10-21
A00447,Rebecca Atkins,2025-08,2456.44,132466,57444,54866,2025-02-03
A00360,David Ortiz,2025-08,9912.17,964525,413841,189275,2024-11-12
A00372,Penny Williams,2025-08,10631.4,820608,247699,19684,2024-09-20
A00428,Corey Cabrera,2025-08,11518.06,573640,487393,69258,2022-09-16
A00122,Shannon Buchanan MD,2025-08,4679.52,813414,118095,155380,2023-12-02
A00156,Michael Hammond,2025-08,8364.82,403943,197390,149227,2023-05-07
A00093,Melissa Wilson,2025-08,1848.07,259010,228127,9182,2024-12-20
A00216,Charlotte Scott,2025-08,11173.73,294915,39093,29150,2023-12-22
A00248,Russell Griffin,2025-08,11723.54,18462,356179,183324,2024-12-19
A00189,Cameron Macias,2025-08,8200.41,855741,98210,103293,2023-05-29
A00350,Erica Scott,2025-08,12949.63,735216,443687,175099,2024-08-10
A00372,Ian Bishop,2025-08,2446.02,216141,264477,5450,2022-09-30
A00196,Ronald Walsh,2025-08,9695.9,70151,101378,190635,2023-05-02
A00102,Michelle Johnson,2025-08,6847.14,168892,399597,177590,2025-01-03
A00424,Stephen Ramirez,2025-08,17889.08,251274,22284,84815,2022-10-26
A00141,Jodi Estrada,2025-08,4975.27,706358,398139,3024,2022-12-10
A00233,Alexander Smith,2025-08,408.25,146502,371523,56213,2024-10-19
A00277,Keith George,2025-08,7823.39,853975,497365,180348,2023-11-29
A00384,Jeffrey Cantu,2025-08,11288.76,364494,427397,128346,2023-01-13
A00213,Mrs. Mary Johnson,2025-08,17320.73,739419,83830,45656,2023-07-12
A00114,Angela Miller,2025-08,7860.32,351133,417989,136946,2024-03-12
A00417,Suzanne Robinson,2025-08,18882.43,425607,35008,111510,2024-04-06
A00088,Ashley Bates,2025-08,19131.23,202624,298549,106190,2025-02-20
A00109,Melanie Reed,2025-08,9292.04,418706,22216,52796,2023-07-30
A00361,Michael Chapman,2025-08,19617.92,146407,271090,102086,2024-05-10
A00292,Nicole Le,2025-08,5775.75,273488,341463,34005,2022-10-28
A00021,Bethany Clark,2025-08,13613.27,751762,319173,110564,2023-08-19
A00387,Annette Sweeney,2025-08,11306.34,255647,389681,80498,2024-07-07
A00320,Russell Smith,2025-08,6509.57,593803,98363,116038,2024-03-18
A00187,Erin Brown,2025-08,5025.46,330800,35034,34870,2023-04-12
A00488,Robert Morrison,2025-08,17114.94,416883,57770,148165,2022-09-18
A00357,Jesus Townsend,2025-08,16578.1,117938,84426,194627,2024-10-15
A00177,Karina Scott,2025-08,2470.61,777257,3241,68588,2024-11-16
A00125,Jessica Alvarez,2025-08,13681.93,536516,362786,31219,2025-02-01
A00364,Heidi Jackson,2025-08,13965.62,263587,250815,41630,2024-10-30
A00336,Mike Young,2025-08,9462.4,778447,424586,349,2024-06-20
A00316,Sarah Briggs,2025-08,6547.01,93270,225123,115268,2023-05-31
A00098,Jessica Shelton,2025-08,9370.1,920698,499769,16830,2023-01-19
A00472,Angela Thompson,2025-08,12263.24,811045,130961,114845,2022-09-19
A00061,David Morrow,2025-08,7342.04,20735,376474,152980,2024-09-21
A00059,Tonya Robles,2025-08,19779.51,797149,141861,5919,2022-08-25
A00231,Laura Benitez,2025-08,14142.55,888385,151927,125359,2025-01-10
A00250,Mr. Christopher Castillo,2025-08,2116.44,374652,246294,167989,2023-01-10
A00060,Tina Simmons,2025-08,6801.36,758842,469318,23554,2022-12-06
A00374,Thomas Tran,2025-08,2331.76,442731,272670,14131,2025-07-25
A00171,Lisa Hall,2025-08,14360.37,996522,268241,57277,2024-07-13
A00334,Angela Glass,2025-08,13106.91,75939,240069,190925,2023-07-06
A00060,Erica Miller,2025-08,1202.99,939351,317923,80462,2024-02-12
A00307,Reginald Freeman,2025-08,18161.18,675285,219917,107092,2025-03-19
A00397,Manuel Mcdonald,2025-08,11450.09,817051,79272,196385,2024-10-23
A00330,Cindy Villa,2025-08,16133.15,586490,273875,13201,2024-12-31
A00467,David Pope,2025-08,2259.61,94333,226390,54848,2022-11-28
A00149,Susan Crane,2025-08,17708.04,636452,95252,99606,2022-12-25
A00473,Debra Jones,2025-08,11331.88,787176,396471,68100,2024-03-31
A00164,Alexander Heath,2025-08,17592.15,225953,451166,169582,2023-09-17
A00194,Darius Davis,2025-08,19854.52,107303,466504,118959,2024-10-16
A00362,Amber Duffy,2025-08,10666.31,369553,412011,146482,2023-03-05
A00325,Emily Bowers,2025-08,2107.22,509134,346760,184767,2022-10-18
A00424,Darren Diaz,2025-08,16676.3,381743,186831,61207,2024-06-06
A00027,Jessica Ramirez,2025-08,14915.33,260959,149894,195844,2023-05-17
A00410,Tiffany Lopez,2025-08,16030.65,500665,488349,38334,2025-03-24
A00495,Roger Bautista,2025-08,12536.44,907669,143618,20321,2023-12-31
A00024,Christopher Burton,2025-08,19890.07,708268,232154,89694,2024-07-11
A00349,Veronica Roberson,2025-08,16818.46,406739,105345,81406,2024-12-24
A00148,Samuel Cook,2025-08,938.08,880874,383224,137746,2023-01-07
A00205,Alexander Bolton,2025-08,18481.18,803203,102245,195452,2024-09-17
A00264,Emily White,2025-08,8436.07,590882,213209,172019,2024-11-20
A00231,Susan Grant,2025-08,7381.98,782488,122092,97798,2023-11-26
A00270,Henry Russell,2025-08,13309.29,893530,67007,185742,2022-10-30
A00368,Randall Randall,2025-08,7824.03,551384,96554,40908,2024-06-29
A00060,Stephanie Moore,2025-08,11350.54,819535,15968,7190,2024-07-02
A00465,Julie Robinson,2025-08,10012.8,534368,30977,83039,2023-05-31
A00366,Jacob Burns,2025-08,3031.74,272166,446993,158056,2024-02-15
A00429,Angela Espinoza,2025-08,13338.25,790170,300851,44430,2025-08-01
A00109,Christine Richardson,2025-08,11769.39,68499,347261,27540,2024-05-18
A00496,Mr. Alan Henson,2025-08,18342.84,790401,163349,48338,2023-06-09
A00083,Joseph Brown,2025-08,12209.91,363345,367157,1642,2022-09-17
A00345,Jeffrey Thornton,2025-08,4993.92,676678,424345,185255,2023-10-23
A00453,Jeffrey Duncan,2025-08,12266.16,234149,312238,194080,2022-10-13
A00072,Crystal Bradley,2025-08,9694.94,578017,416352,19412,2023-04-20
A00179,Ashley Nichols,2025-08,12477.66,925455,129525,87870,2022-09-21
A00353,Laura Thompson,2025-08,13350.24,776012,283750,15458,2022-09-29
A00370,Mathew Williams,2025-08,13250.51,474733,431104,20128,2025-05-06
A00494,Elizabeth Howell,2025-08,10971.32,167989,388863,83078,2024-10-15
A00321,Amber Burke,2025-08,12776.92,440469,119347,69260,2024-05-26
A00432,Samuel Boyer,2025-08,946.35,144102,278486,88763,2025-01-24
A00320,Deborah Williams MD,2025-08,2236.56,199321,74206,118311,2023-09-11
A00137,John Gonzalez,2025-08,5793.07,983403,470377,63627,2025-07-22
A00119,Morgan Stewart,2025-08,11325.66,73069,351594,196859,2022-12-23
A00493,Shawn Henderson,2025-08,17034.7,207964,487756,105313,2024-08-12
A00421,Christopher Wright,2025-08,19765.7,921900,275673,12538,2023-11-13
A00080,John Russell,2025-08,8255.13,568030,239508,133755,2025-06-09
A00083,Adrian Gaines,2025-08,1877.05,94058,424855,15042,2024-10-21
A00103,Emily Simpson,2025-08,307.86,609587,387534,89088,2024-06-30
A00338,Mark Mora,2025-08,9301.16,132883,330731,1000,2023-11-06
A00212,Sean Mitchell,2025-08,2656.73,387748,414222,140728,2025-01-27
A00350,Dr. Jerry Wheeler,2025-08,6972.5,443408,230810,137719,2024-08-26
A00102,Justin Parker,2025-08,8590.63,230532,487834,168340,2024-04-22
A00266,Robert Collins,2025-08,13880.65,721573,343984,5482,2023-11-29
A00322,Mark Jones,2025-08,8721.23,434741,377133,174417,2023-11-24
A00170,Rhonda Levy,2025-08,1224.9,962819,254556,132824,2023-05-10
A00203,John Baird,2025-08,1564.72,307124,100945,129379,2025-08-04
A00376,Monica Graham,2025-08,2604.73,989563,218620,165502,2025-07-31
A00346,Michael Ballard,2025-08,7481.86,936620,401115,90561,2025-04-16
A00158,Chad Benson,2025-08,12636.88,11200,261017,99334,2022-12-23
A00340,Douglas Jones,2025-08,10983.45,67286,410914,192802,2024-09-18
A00271,Anita Willis,2025-08,3997.67,443728,194222,40309,2023-11-20
A00234,Spencer Mcgee,2025-08,4984.81,32502,247065,166584,2025-08-03
A00382,Alan Brennan,2025-08,11454.07,490370,351171,10543,2024-07-23
A00061,Lauren Cannon,2025-08,10720.7,522742,279653,14135,2023-09-13
A00131,Robert Gomez,2025-08,4345.31,787181,463325,134697,2023-09-30
A00020,Michelle Miller,2025-08,7856.73,10664,463428,53854,2022-11-05
A00383,Dr. Kelsey Lee,2025-08,3167.39,345950,408137,116572,2024-12-24
A00058,Debra Hodge,2025-08,17724.63,845038,200062,92671,2023-12-25
A00174,Joshua Tucker,2025-08,9555.44,322343,124398,196174,2025-06-10
A00206,Mark Rodriguez,2025-08,161.24,774566,274836,101975,2024-12-28
A00090,Robert Howard,2025-08,1834.78,356138,493054,84820,2024-11-27
A00215,Jason Jones,2025-08,6208.08,972096,293884,96336,2022-12-11
A00222,Nicholas Key,2025-08,13950.79,742493,246707,119963,2025-07-30
A00429,Diana Montgomery,2025-08,15610.52,530072,454714,87834,2022-12-27
A00313,William Pena,2025-08,14623.66,984329,367921,120472,2024-10-04
A00179,Robert Gray,2025-08,8418.69,856537,193246,127122,2022-12-09
A00029,Cathy Thomas,2025-08,8573.2,501400,401401,16030,2025-08-01
A00081,Kathy Navarro,2025-08,18989.8,789790,352381,168285,2023-01-17
A00177,Peggy Rodriguez,2025-08,2714.87,671040,22342,187460,2023-11-11
A00295,Lisa Bell,2025-08,230.09,56662,239557,79222,2024-10-30
A00212,Holly Barnett,2025-08,4996.98,410418,41459,177295,2023-01-01
A00194,Mark Martinez,2025-08,5978.27,65650,267779,177425,2022-09-04
A00365,Courtney Graham,2025-08,8473.32,938697,489489,178985,2025-05-17
A00449,Michael Hunter,2025-08,6505.88,124859,158450,22857,2023-06-02
A00473,Steven Johnson,2025-08,15150.48,897074,345203,18914,2022-08-25
A00014,Kelly Perez MD,2025-08,8724.92,452575,39998,184495,2023-08-22
A00118,Lauren Brown,2025-08,10185.22,676511,419862,69254,2025-02-21
A00390,Todd Johnson,2025-08,10014.45,809024,45642,1286,2023-11-22
A00152,Helen Greene,2025-08,5721.74,475055,341563,140400,2024-07-01
A00383,Kevin Morris,2025-08,14157.62,763894,154667,122833,2025-02-04
A00377,Shane Holmes,2025-08,15973.3,264565,493375,21676,2023-07-04
A00467,James Smith,2025-08,7844.7,411285,458337,36373,2023-03-25
A00014,Sandra Andrews,2025-08,4196.26,719296,431426,124607,2025-05-21
A00356,Cynthia Brown,2025-08,9555.16,197108,241485,4674,2024-06-27
A00210,Kayla Rodriguez,2025-08,15769.26,462550,11948,182830,2023-06-05
A00240,Julian Fry,2025-08,5872.21,178519,412256,164704,2024-04-05
A00216,Lori Griffith,2025-08,11114.96,795988,465186,183634,2025-06-05
A00024,Andrew Hamilton,2025-08,17645.32,773982,246909,159991,2022-08-23
A00420,David Phillips,2025-08,18058.34,593922,451970,159000,2023-12-26
A00470,Teresa King,2025-08,19423.07,249532,334811,8434,2022-08-23
A00245,Lisa Davis,2025-08,13117.05,561651,2457,69522,2025-02-26
A00024,Daniel Lang,2025-08,14401.28,553879,73046,68136,2024-10-05
A00417,Stephen Carlson,2025-08,8139.21,238704,208656,193145,2023-05-05
A00127,Theresa Mckenzie,2025-08,8426.05,328598,33968,7557,2025-06-08
A00264,Elizabeth Jones,2025-08,16774.26,374702,182285,108939,2023-07-04
A00179,Bobby Gonzales,2025-08,6615.76,406132,128283,75608,2023-06-26
A00429,Robert Alexander,2025-08,339.83,731135,388762,2246,2022-09-20
A00173,Monica Saunders,2025-08,7772.4,421319,27375,196247,2024-12-12
A00346,Ashley Mcintyre,2025-08,7839.61,245482,285182,29261,2025-06-03
A00207,Andrew Harper MD,2025-08,9258.88,824417,441963,38347,2023-04-19
A00476,Anthony Phillips,2025-08,2881.74,422473,406556,9800,2022-12-23
A00199,Jessica Rice,2025-08,18733.53,240301,462643,3622,2024-02-08
A00143,Steven Franklin,2025-08,12854.7,782249,234989,187853,2024-03-31
A00280,Justin Sims,2025-08,3385.16,16993,132082,82858,2024-09-13
A00168,Lisa Thompson,2025-08,14667.33,39252,196068,104731,2024-11-19
A00460,Jerry Patterson,2025-08,2015.21,790515,411009,147755,2024-04-22
A00262,Dan Perez,2025-08,5420.64,489293,89163,5969,2024-10-13
A00444,Mark Guzman,2025-08,3287.42,490034,280354,125056,2023-08-20
A00149,Lisa Nelson,2025-08,1965.77,772593,94963,80424,2023-05-16
A00204,Debbie Heath,2025-08,9338.05,425331,164062,140333,2023-06-26
A00309,David Williams,2025-08,12248.19,429526,211495,174201,2024-11-07
A00341,John Rivera,2025-08,14419.61,600868,223874,53521,2024-04-29
A00329,Tyler Anderson,2025-08,3342.52,412388,444847,25989,2025-05-29
A00231,Bradley Smith III,2025-08,8704.19,140910,443250,152743,2024-01-08
A00489,Kimberly Stewart,2025-08,4007.17,123976,239285,97451,2022-08-30
A00397,Scott Reyes,2025-08,9511.18,3310,488159,187864,2024-01-16
A00243,Devin Miller,2025-08,14410.46,707472,288257,66831,2023-09-01
A00195,Eric Beck,2025-08,4707.8,990786,230700,44355,2025-05-13
A00074,James Watson,2025-08,19907.1,755936,120214,23235,2023-12-20
A00065,Dalton Castillo,2025-08,2284.55,190936,108827,159265,2024-04-27
A00117,John Edwards,2025-08,13363.6,114232,401721,178790,2022-09-28
A00071,Jeffrey Sampson,2025-08,4538.89,808100,51674,59725,2025-06-20
A00495,Terri Hernandez,2025-08,10329.26,303951,463903,153184,2024-02-14
A00358,Barry Olsen,2025-08,14233.9,651299,292320,185053,2024-07-08
A00168,Timothy Vasquez,2025-08,2619.39,905993,342967,83188,2023-07-01
A00373,Gary Curtis,2025-08,8569.1,151840,186761,173606,2023-01-30
A00495,Debra Clark,2025-08,4858.68,757275,60911,8556,2023-10-09
A00490,Dana Collins,2025-08,3184.28,922969,19410,55802,2023-12-24
A00188,Jacqueline Reyes,2025-08,7641.98,970731,412699,33291,2023-12-02
A00462,Michelle Jones,2025-08,7859.52,823176,26144,137383,2023-07-19
A00200,Barbara Porter,2025-08,19496.31,755181,35216,166187,2022-08-29
A00319,Jo Powell,2025-08,14750.95,122677,118065,127169,2025-01-15
A00094,Jodi Miller,2025-08,1950.62,614767,366394,84238,2023-09-01
A00342,Nancy Jackson,2025-08,11765.4,125534,13388,25566,2024-04-03
A00215,Sophia Patton,2025-08,6847.04,78703,375049,86906,2024-03-07
A00390,Justin Ramirez,2025-08,6915.86,606282,342422,12191,2024-05-04
A00028,Briana Mitchell,2025-08,4153.72,303566,393001,56972,2025-07-12
A00149,Angelica Austin,2025-08,19451.04,821614,46904,112573,2023-02-08
A00321,Brandi Ferguson,2025-08,17038.45,528950,25942,158377,2024-01-08
A00270,Mark Watson,2025-08,91.91,863946,123583,10560,2025-04-26
A00391,Edwin Downs,2025-08,7388.25,633644,310676,125195,2023-05-26
A00404,Amanda Harmon,2025-08,19925.23,479493,279359,54485,2023-10-25
A00095,Nicole Mason,2025-08,8393.51,321248,228087,191363,2024-04-29
A00183,Kenneth Evans,2025-08,4639.01,709542,295325,5757,2023-09-26
A00026,Mrs. Victoria Schneider DVM,2025-08,5295.39,381322,143642,119333,2023-10-21
A00329,Craig Hamilton,2025-08,10940.96,595231,33918,53668,2023-09-15
A00055,Ms. Courtney Lopez,2025-08,14870.52,299504,349778,18294,2023-02-12
A00322,Michael Collins,2025-08,1238.02,595214,67933,43690,2024-02-09
A00389,Susan Nash,2025-08,5607.64,233835,384208,84685,2024-12-07
A00167,Angela Smith,2025-08,2004.06,569264,385177,187633,2023-03-21
A00159,Ryan Morales,2025-08,13241.14,10702,364456,60756,2023-09-19
A00213,Keith Hughes,2025-08,1372.51,398785,234944,84087,2023-01-05
A00379,Robert Grant,2025-08,2760.32,402565,95471,172031,2022-11-03
